# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Feb 23 04:26:32 2025
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1
# CONSTRAINT:  and pl_orbperstr < 1
# CONSTRAINT:  and pl_radestr not null
# CONSTRAINT:  and st_teffstr not null
# CONSTRAINT:  and st_radstr not null
# CONSTRAINT:  and sy_kmagstr not null)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr1:    V (Johnson) Magnitude Upper Unc
# COLUMN sy_vmagerr2:    V (Johnson) Magnitude Lower Unc
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_kmagerr1:    Ks (2MASS) Magnitude Upper Unc
# COLUMN sy_kmagerr2:    Ks (2MASS) Magnitude Lower Unc
# COLUMN sy_tmag:        TESS Magnitude
# COLUMN sy_tmagerr1:    TESS Magnitude Upper Unc
# COLUMN sy_tmagerr2:    TESS Magnitude Lower Unc
#
pl_name,hostname,default_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_tmag,sy_tmagerr1,sy_tmagerr2
TOI-849 b,TOI-849,1,0.76554800,0.00005300,-0.00005300,0,0.015500,0.000300,-0.000300,0,3.640,0.380,-0.380,0,41.80000,2.50000,-2.40000,0,0.000000,,,0,,,,,,,,,,5257.00,108.00,-116.00,0,0.97,0.10,-0.10,0,0.97,0.04,-0.04,0,,,,,,,,,225.7340000,1.5690000,-1.5470000,11.9810000,0.0340000,-0.0340000,10.4180000,0.0230000,-0.0230000,11.5485000,0.0061000,-0.0061000
Kepler-1834 c,Kepler-1834,1,0.76669152,0.00000127,-0.00000127,0,0.015000,,,0,1.220,0.050,-0.080,0,,,,,0.000000,,,0,1334.22,188.87,-238.99,0,1541,,,0,,4821.00,76.00,-76.00,0,0.79,0.03,-0.05,0,0.77,0.05,-0.03,0,0.160,0.150,-0.150,0,4.53,0.06,-0.02,0,500.3950000,8.3260000,-8.0630000,15.1800000,0.0800000,-0.0800000,12.7220000,0.0380000,-0.0380000,14.2644000,0.0062000,-0.0062000
NGTS-10 b,NGTS-10,1,0.76689440,0.00000030,-0.00000030,0,0.014300,0.001000,-0.001000,0,13.507,1.311,-0.930,0,687.14846,29.24036,-34.00781,0,0.000000,,,0,,,,,1332,49,-54,0,K5 V,4600.00,150.00,-150.00,0,0.70,0.04,-0.04,0,0.70,0.04,-0.04,0,-0.020,0.120,-0.120,0,4.59,0.02,-0.02,0,,,,14.5060000,0.1140000,-0.1140000,11.7280000,0.0250000,-0.0250000,13.6050000,0.0074000,-0.0074000
LTT 3780 b,LTT 3780,1,0.76837931,0.00000039,-0.00000042,0,0.011950,0.000280,-0.000290,0,1.325,0.057,-0.058,0,2.46000,0.19000,-0.19000,0,0.000000,,,0,111.00,13.00,-12.00,0,903,26,-26,0,,3358.00,92.00,-92.00,0,0.38,0.01,-0.01,0,0.38,0.02,-0.03,0,0.060,0.110,-0.110,0,4.85,0.11,-0.11,0,21.9814000,0.0403000,-0.0402000,13.1400000,0.0350000,-0.0350000,8.2040010,0.0210000,-0.0210000,10.5848000,0.0073852,-0.0073852
Kepler-1173 b,Kepler-1173,1,0.76985360,0.00000120,-0.00000120,0,,,,,0.890,0.230,-0.070,0,,,,,,,,,,,,,,,,,,5252.00,92.48,-116.76,0,0.82,0.06,-0.04,0,0.86,0.04,-0.05,0,0.000,0.148,-0.164,0,4.55,0.03,-0.07,0,377.0600000,2.3975000,-2.3975000,13.8960000,0.1030000,-0.1030000,11.8840000,0.0260000,-0.0260000,13.2177000,0.0061000,-0.0061000
K2-187 b,K2-187,1,0.77401000,0.00008300,-0.00008300,0,,,,,1.200,0.200,-0.200,0,,,,,,,,,,,,,,,,,,5438.00,63.00,-63.00,0,0.83,0.11,-0.11,0,,,,,0.000,0.100,-0.100,0,4.60,0.08,-0.08,0,330.9160000,5.7270000,-5.5390000,13.1020000,0.0690000,-0.0690000,11.1960000,0.0210000,-0.0210000,12.3562000,0.0069000,-0.0069000
TOI-332 b,TOI-332,1,0.77703800,0.00000100,-0.00000100,0,0.015900,0.000100,-0.000100,0,3.200,0.160,-0.110,0,57.20000,1.60000,-1.60000,0,0.000000,,,0,,,,,1871,30,-25,0,K0 V,5251.00,71.00,-71.00,0,0.87,0.03,-0.02,0,0.88,0.02,-0.02,0,0.256,0.048,-0.048,0,4.46,0.04,-0.04,0,222.8520000,3.7500000,-3.6290000,12.3490000,0.0460000,-0.0460000,10.3150000,0.0210000,-0.0210000,11.5273000,0.0060000,-0.0060000
TOI-2411 b,TOI-2411,1,0.78269420,0.00000370,-0.00000370,0,0.014400,0.000100,-0.000100,0,1.680,0.110,-0.110,0,,,,,,,,,,,,,1355,45,-45,0,,4099.00,123.00,-123.00,0,0.68,0.02,-0.02,0,0.65,0.02,-0.02,0,,,,,4.59,0.03,-0.03,0,59.5362000,0.2878000,-0.2852000,11.2720000,0.1110000,-0.1110000,8.5320000,0.0230000,-0.0230000,10.4238000,0.0061000,-0.0061000
WASP-19 b,WASP-19,1,0.78883852,0.00000075,-0.00000082,0,0.016520,0.000500,-0.000560,0,15.861,0.493,-0.538,0,366.77398,24.79062,-25.42627,0,0.012600,0.014000,-0.008900,0,3320.00,190.00,-180.00,0,2113,29,-29,0,,5616.00,66.00,-65.00,0,1.01,0.03,-0.03,0,0.96,0.09,-0.10,0,0.040,0.250,-0.300,0,4.42,0.02,-0.02,0,268.3250000,1.7200000,-1.6980000,12.2480000,0.0690000,-0.0690000,10.4810000,0.0230000,-0.0230000,11.6044000,0.0060000,-0.0060000
Kepler-1331 b,Kepler-1331,1,0.78916165,0.00000121,-0.00000121,0,,,,,1.050,0.090,-0.080,0,,,,,,,,,,,,,,,,,,4508.00,243.21,-204.59,0,0.69,0.05,-0.04,0,0.72,0.05,-0.05,0,0.050,0.155,-0.160,0,4.63,0.03,-0.03,0,319.1970000,2.6140000,-2.5720000,15.5800000,0.1830000,-0.1830000,12.3180000,0.0210000,-0.0210000,14.2331000,0.0061000,-0.0061000
LTT 9779 b,LTT 9779,1,0.79205200,0.00000930,-0.00000930,0,0.016790,0.000140,-0.000120,0,4.720,0.230,-0.230,0,29.32000,0.78000,-0.81000,0,0.000000,,,0,,,,,1978,19,-19,0,G7 V,5443.00,14.00,-13.00,0,0.95,0.01,-0.01,0,0.77,0.29,-0.21,0,0.270,0.030,-0.030,0,4.35,0.16,-0.12,0,80.4373000,0.3174000,-0.3150000,9.7900000,0.0300000,-0.0300000,8.0160000,0.0290000,-0.0290000,9.1031000,0.0060000,-0.0060000
K2-413 b,K2-413,1,0.80940000,0.00003000,-0.00003000,0,0.011700,0.000900,-0.001200,0,0.760,0.076,-0.050,0,,,,,,,,,921.75,,,0,,,,,,4116.00,138.00,-138.00,0,0.70,0.06,-0.05,0,0.81,0.36,-0.26,0,-0.205,0.235,-0.235,0,4.66,0.15,-0.15,0,285.1620000,3.5690000,-3.4830000,15.0130000,0.1720000,-0.1720000,11.8600000,0.0260000,-0.0260000,13.7731000,0.0068000,-0.0068000
K2-156 b,K2-156,1,0.81314300,0.00007700,-0.00007700,0,,,,,1.100,0.090,-0.060,0,,,,,,,,,,,,,,,,,,4460.00,50.00,-50.00,0,0.62,0.02,-0.02,0,,,,,-0.330,0.080,-0.080,0,4.70,0.10,-0.10,0,150.2100000,1.0850000,-1.0690000,13.4000000,0.1140000,-0.1140000,10.3910000,0.0230000,-0.0230000,12.2048000,0.0061000,-0.0061000
Kepler-1139 b,Kepler-1139,1,0.81316672,0.00000125,-0.00000125,0,,,,,1.190,0.170,-0.080,0,,,,,,,,,,,,,,,,,,5550.00,105.36,-153.89,0,0.91,0.12,-0.06,0,0.94,0.04,-0.05,0,0.050,0.128,-0.152,0,4.50,0.05,-0.12,0,495.1560000,4.8860000,-4.8860000,14.2290000,0.1600000,-0.1600000,12.3390000,0.0230000,-0.0230000,13.5739000,0.0082000,-0.0082000
WASP-43 b,WASP-43,1,0.81347500,0.00000100,-0.00000100,0,0.014200,0.000400,-0.000400,0,10.424,0.785,-1.009,0,565.71400,31.78200,-31.78200,0,0.000000,,,0,,,,,,,,,,4400.00,200.00,,0,0.60,0.03,-0.04,0,0.58,0.05,,0,,,,,,,,,86.7467000,0.3281000,-0.3257000,12.3050000,0.0570000,-0.0570000,9.2670000,0.0260000,-0.0260000,11.1184000,0.0063000,-0.0063000
Kepler-10 b,Kepler-10,1,0.83749070,0.00000020,-0.00000020,0,0.016850,0.000130,-0.000130,0,1.470,0.030,-0.020,0,3.26000,0.30000,-0.30000,0,0.000000,,,0,3820.00,120.00,-120.00,0,2188,16,-16,0,,5708.00,28.00,-28.00,0,1.06,0.01,-0.01,0,0.91,0.02,-0.02,0,-0.150,0.040,-0.040,0,,,,,185.5060000,0.8110000,-0.8050000,11.0430000,0.0230000,-0.0230000,9.4960000,0.0210000,-0.0210000,10.4767000,0.0060000,-0.0060000
HATS-18 b,HATS-18,1,0.83784000,0.00000047,-0.00000047,0,0.017400,0.000980,-0.000980,0,14.897,0.841,-0.841,0,629.14449,24.15508,-24.15508,0,,,,,,,,,2069,45,-45,0,,5600.00,120.00,-120.00,0,1.02,0.06,-0.03,0,1.04,0.05,-0.05,0,,,,,,,,,624.3680000,16.1470000,-15.3660000,14.1880000,0.0800000,-0.0800000,12.2890000,0.0280000,-0.0280000,13.3898000,0.0075000,-0.0075000
Kepler-1315 b,Kepler-1315,1,0.84338011,0.00000082,-0.00000082,0,,,,,1.380,0.080,-0.060,0,,,,,,,,,,,,,,,,,,4861.00,81.92,-112.47,0,0.75,0.03,-0.03,0,0.80,0.03,-0.04,0,0.070,0.157,-0.165,0,4.60,0.02,-0.04,0,480.8690000,5.7240000,-5.7240000,15.1330000,0.0690000,-0.0690000,12.6840000,0.0310000,-0.0310000,14.2730000,0.0115000,-0.0115000
TOI-1347 b,TOI-1347,1,0.84742346,0.00000061,-0.00000061,0,,,,,1.800,0.100,-0.100,0,11.10000,1.20000,-1.20000,0,0.000000,,,0,,,,,1400,40,-40,0,,5464.00,100.00,-100.00,0,0.83,0.03,-0.03,0,0.91,0.03,-0.03,0,0.040,0.060,-0.060,0,4.64,0.10,-0.10,0,147.4760000,1.0500000,-1.0350000,11.1680000,0.0130000,-0.0130000,9.6160000,0.0150000,-0.0150000,10.7157000,0.0066000,-0.0066000
Kepler-1579 b,Kepler-1579,1,0.84990789,0.00000293,-0.00000293,0,,,,,0.840,0.060,-0.050,0,,,,,,,,,,,,,,,,,,4584.00,61.63,-74.20,0,0.70,0.02,-0.03,0,0.75,0.03,-0.04,0,0.110,0.134,-0.201,0,4.63,0.01,-0.02,0,,,,15.4900000,0.1370000,-0.1370000,12.7440000,0.0360000,-0.0360000,14.5096000,0.0062000,-0.0062000
CoRoT-7 b,CoRoT-7,1,0.85359163,0.00000001,-0.00000001,0,,,,,1.681,0.112,-0.112,0,4.07661,1.01982,-1.01982,0,0.000000,,,0,,,,,,,,,,5275.00,75.00,-75.00,0,0.83,0.04,-0.04,0,0.82,0.17,-0.17,0,0.050,,,0,4.50,0.10,-0.10,0,159.9060000,0.9170000,-0.9060000,11.7280000,0.0270000,-0.0270000,9.8060000,0.0210000,-0.0210000,10.9996000,0.0061000,-0.0061000
TOI-6008 b,TOI-6008,1,0.85743470,0.00004240,-0.00004240,0,0.010777,0.000162,-0.000162,0,1.030,0.050,-0.050,0,4.00000,,,1,,,,,41.50,4.50,-4.50,0,707,19,-19,0,M5.0,3075.00,75.00,-75.00,0,0.24,0.01,-0.01,0,0.23,0.01,-0.01,0,0.300,,,1,5.01,0.02,-0.02,0,23.1008000,0.0293000,-0.0291000,15.9700000,0.2000000,-0.2000000,9.5410000,0.0180000,-0.0180000,12.2936000,0.0074708,-0.0074708
LHS 1678 b,LHS 1678,1,0.86023250,0.00000130,-0.00000110,0,0.012390,0.000560,-0.000570,0,0.685,0.037,-0.035,0,,,,,0.033000,0.035000,-0.023000,0,94.30,9.10,-8.10,0,,,,,M2.0 V,3490.00,50.00,-50.00,0,0.33,0.01,-0.01,0,0.34,0.01,-0.01,0,,,,,,,,,19.8782000,0.0094000,-0.0094000,12.6000000,0.2000000,-0.2000000,8.2640000,0.0290000,-0.0290000,10.4276000,0.0073249,-0.0073249
Kepler-1320 b,Kepler-1320,1,0.86838653,0.00000116,-0.00000116,0,,,,,1.700,0.070,-0.110,0,,,,,,,,,,,,,,,,,,4817.00,51.95,-67.43,0,0.74,0.03,-0.03,0,0.80,0.03,-0.04,0,0.100,0.154,-0.167,0,4.60,0.01,-0.04,0,647.4240000,15.2680000,-14.5920000,15.9360000,0.1030000,-0.1030000,13.6580000,0.0490000,-0.0490000,15.2148000,0.0065000,-0.0065000
EPIC 201595106 b,EPIC 201595106,1,0.87724000,0.00004000,-0.00004000,0,0.017700,0.000300,-0.000300,0,1.565,0.079,-0.079,0,7.67000,0.75000,-0.75000,0,0.000000,,,0,2852.00,107.00,-107.00,0,2038,39,-39,0,,5679.00,60.00,-39.00,0,0.98,0.03,-0.03,0,0.96,0.05,-0.05,0,0.010,0.100,-0.100,0,4.43,0.04,-0.04,0,232.1000000,2.7060000,-2.6460000,11.7460000,0.0690000,-0.0690000,10.2180000,0.0210000,-0.0210000,11.2023000,0.0061000,-0.0061000
Kepler-1379 b,Kepler-1379,1,0.88184115,0.00000313,-0.00000313,0,,,,,1.300,0.120,-0.090,0,,,,,,,,,,,,,,,,,,5188.00,78.92,-114.14,0,0.79,0.05,-0.05,0,0.83,0.04,-0.05,0,-0.040,0.165,-0.183,0,4.57,0.04,-0.06,0,971.3250000,43.8825000,-43.8825000,16.1070000,0.3200000,-0.3200000,13.8000000,0.0530000,-0.0530000,15.2626000,0.0069000,-0.0069000
NGTS-6 b,NGTS-6,1,0.88205900,0.00000080,-0.00000080,0,0.016770,0.000320,-0.000320,0,14.863,1.087,-1.255,0,425.57437,8.89924,-8.89924,0,0.000000,,,0,,,,,1284,12,-12,0,,4730.00,44.00,-40.00,0,0.75,0.01,-0.01,0,0.77,0.03,-0.03,0,0.110,0.090,-0.090,0,4.70,1.10,-0.70,0,308.2620000,1.4180000,-1.4070000,14.2370000,0.1260000,-0.1260000,11.6500000,0.0320000,-0.0320000,13.1686000,0.0062000,-0.0062000
TOI-3261 b,TOI-3261,1,0.88313310,0.00000100,-0.00000100,0,0.017140,0.000130,-0.000200,0,3.820,0.420,-0.350,0,30.30000,2.20000,-2.40000,0,0.000000,,,0,1466.00,92.00,-60.00,0,1722,26,-18,0,K1.5+/-1,5068.00,61.00,-42.00,0,0.85,0.02,-0.02,0,0.86,0.02,-0.03,0,0.138,0.048,-0.037,0,4.19,0.12,-0.12,0,300.1410000,1.0820000,-1.0740000,13.2610000,0.1140000,-0.1140000,11.1840000,0.0250000,-0.0250000,12.4923000,0.0060000,-0.0060000
Kepler-732 c,Kepler-732,1,0.89304124,0.00000046,-0.00000046,0,,,,,1.270,0.070,-0.100,0,,,,,,,,,,,,,,,,,,3631.00,35.05,-37.03,0,0.46,0.03,-0.03,0,0.49,0.03,-0.03,0,-0.010,0.086,-0.086,0,4.79,0.04,-0.03,0,174.8260000,0.8590000,-0.8500000,16.5300000,0.2000000,-0.2000000,11.7210000,0.0180000,-0.0180000,13.9669000,0.0078861,-0.0078861
Kepler-653 c,Kepler-653,1,0.90037648,0.00000363,-0.00000363,0,,,,,0.780,0.130,-0.120,0,,,,,,,,,,,,,,,,,,5665.00,54.97,-60.88,0,1.19,0.17,-0.16,0,1.02,0.05,-0.04,0,0.230,0.077,-0.078,0,4.29,0.12,-0.11,0,595.6340000,4.5660000,-4.4970000,13.4980000,0.1140000,-0.1140000,11.7930000,0.0110000,-0.0110000,12.8615000,0.0064000,-0.0064000
EPIC 206024342 c,EPIC 206024342,1,0.91172400,0.00007600,-0.00007600,0,,,,,1.400,0.500,-0.500,0,,,,,,,,,,,,,,,,,,5724.00,72.00,-72.00,0,1.10,0.36,-0.36,0,,,,,-0.220,0.060,-0.060,0,4.50,0.10,-0.10,0,369.8880000,4.9900000,-4.8600000,13.0960000,0.0800000,-0.0800000,11.4870000,0.0230000,-0.0230000,12.5160000,0.0079000,-0.0079000
Kepler-1351 b,Kepler-1351,1,0.91614077,0.00000192,-0.00000192,0,,,,,0.650,0.050,-0.040,0,,,,,,,,,,,,,,,,,,4439.00,82.58,-77.72,0,0.67,0.03,-0.04,0,0.70,0.03,-0.04,0,-0.030,0.156,-0.161,0,4.64,0.02,-0.03,0,202.7820000,0.6950000,-0.6950000,14.3280000,0.1030000,-0.1030000,11.4700000,0.0140000,-0.0140000,13.3387000,0.0061000,-0.0061000
Kepler-963 c,Kepler-963,1,0.91978300,0.00000300,-0.00000300,0,,,,,0.600,0.200,-0.200,0,,,,,,,,,,,,,,,,,G,5169.47,,,0,0.93,0.24,-0.15,0,0.82,0.12,-0.07,0,,,,,,,,,771.4940000,12.8010000,-12.3970000,15.0910000,0.1260000,-0.1260000,13.1580000,0.0350000,-0.0350000,14.3642000,0.0082000,-0.0082000
Kepler-929 b,Kepler-929,1,0.92103214,0.00000315,-0.00000315,0,,,,,1.110,0.270,-0.150,0,,,,,,,,,,,,,,,,,,5869.00,290.44,-266.47,0,1.02,0.24,-0.14,0,1.01,0.12,-0.09,0,-0.040,0.140,-0.183,0,4.42,0.09,-0.15,0,1311.2300000,35.4000000,-33.6200000,14.7380000,0.1830000,-0.1830000,12.8490000,0.0240000,-0.0240000,13.9847000,0.0081000,-0.0081000
WASP-103 b,WASP-103,1,0.92554200,0.00001900,-0.00001900,0,0.019850,0.000210,-0.000210,0,17.127,0.818,-0.527,0,473.54700,27.96800,-27.96800,0,,,,,,,,,2508,75,-70,0,F8 V,6110.00,160.00,-160.00,0,1.44,0.05,-0.03,0,1.22,0.04,-0.04,0,0.060,0.130,-0.130,0,4.22,0.12,-0.05,0,375.6470000,,,12.4020000,0.0570000,-0.0570000,10.7670000,0.0200000,-0.0200000,11.7586000,0.0060000,-0.0060000
HD 20329 b,HD 20329,1,0.92611800,0.00005000,-0.00004300,0,0.018000,0.000300,-0.000300,0,1.720,0.070,-0.070,0,7.42000,1.09000,-1.09000,0,0.000000,,,0,3474.00,124.00,-124.00,0,2141,27,-27,0,,5596.00,50.00,-50.00,0,1.13,0.02,-0.02,0,0.90,0.05,-0.05,0,-0.070,0.060,-0.060,0,4.40,0.07,-0.07,0,63.6796000,0.2863000,-0.2838000,8.7600000,0.0120000,-0.0120000,7.1160000,0.0240000,-0.0240000,8.1359000,0.0060000,-0.0060000
GJ 806 b,GJ 806,1,0.92632370,0.00000090,-0.00000090,0,0.014060,0.000300,-0.000300,0,1.331,0.023,-0.023,0,1.90000,0.17000,-0.17000,0,,,,,130.00,6.00,-6.00,0,940,10,-10,0,M1.5 V,3600.00,16.00,-16.00,0,0.41,0.00,0.00,0,0.41,0.01,-0.01,0,-0.280,0.070,-0.070,0,4.98,0.12,-0.12,0,12.0445000,0.0043500,-0.0043500,10.7900000,0.1000000,-0.1000000,6.5330000,0.0160000,-0.0160000,8.7276200,0.0073409,-0.0073409
Kepler-845 b,Kepler-845,1,0.92785982,0.00000055,-0.00000055,0,,,,,2.040,0.090,-0.290,0,,,,,,,,,,,,,,,,,,4913.00,57.49,-57.47,0,0.75,0.03,-0.03,0,0.79,0.03,-0.04,0,0.010,0.146,-0.159,0,4.59,0.02,-0.04,0,431.0510000,3.2750000,-3.2750000,14.9030000,0.0690000,-0.0690000,12.5150000,0.0290000,-0.0290000,14.0071000,0.0064000,-0.0064000
Kepler-787 b,Kepler-787,1,0.92831050,0.00000220,-0.00000220,0,,,,,1.280,0.060,-0.070,0,,,,,,,,,,,,,,,,,,4248.00,40.90,-33.57,0,0.62,0.02,-0.02,0,0.65,0.03,-0.02,0,-0.090,0.105,-0.081,0,4.67,0.01,-0.01,0,503.5680000,9.2435000,-9.2435000,16.6960000,1.1330000,-1.1330000,13.1050000,0.0330000,-0.0330000,15.0574000,0.0065000,-0.0065000
Kepler-1323 b,Kepler-1323,1,0.92990668,0.00000075,-0.00000075,0,,,,,1.520,0.330,-0.240,0,,,,,,,,,,,,,,,,,,6169.00,74.24,-59.83,0,1.40,0.30,-0.21,0,1.18,0.11,-0.06,0,0.020,0.082,-0.088,0,4.21,0.14,-0.13,0,465.4170000,4.8790000,-4.7800000,12.4440000,0.0690000,-0.0690000,11.1220000,0.0180000,-0.0180000,11.9566000,0.0061000,-0.0061000
Kepler-1039 b,Kepler-1039,1,0.93488424,0.00000087,-0.00000087,0,,,,,1.460,0.090,-0.220,0,,,,,,,,,,,,,,,,,,4870.00,194.18,-173.27,0,0.74,0.04,-0.04,0,0.79,0.05,-0.04,0,0.010,0.150,-0.164,0,4.60,0.03,-0.04,0,306.9100000,1.9450000,-1.9210000,14.4380000,0.0690000,-0.0690000,11.7530000,0.0190000,-0.0190000,13.4007000,0.0062000,-0.0062000
Kepler-1338 b,Kepler-1338,1,0.93511806,0.00000276,-0.00000276,0,,,,,0.920,0.190,-0.100,0,,,,,,,,,,,,,,,,,,5909.00,114.45,-138.71,0,1.05,0.21,-0.11,0,1.04,0.08,-0.07,0,0.000,0.155,-0.177,0,4.41,0.08,-0.15,0,753.2600000,10.8900000,-10.5890000,13.6990000,0.0920000,-0.0920000,12.1060000,0.0210000,-0.0210000,13.1175000,0.0063000,-0.0063000
Kepler-922 b,Kepler-922,1,0.93846683,0.00000095,-0.00000095,0,,,,,1.420,0.180,-0.110,0,,,,,,,,,,,,,,,,,,5671.00,64.06,-65.37,0,0.93,0.11,-0.07,0,0.95,0.05,-0.05,0,-0.050,0.152,-0.179,0,4.48,0.06,-0.11,0,536.3230000,3.8575000,-3.8575000,13.8630000,0.1260000,-0.1260000,12.1880000,0.0240000,-0.0240000,13.2765000,0.0067000,-0.0067000
Kepler-1523 b,Kepler-1523,1,0.93875077,0.00000116,-0.00000116,0,,,,,1.580,0.270,-0.150,0,,,,,,,,,,,,,,,,,,5708.00,150.00,-158.59,0,0.96,0.16,-0.09,0,0.97,0.07,-0.06,0,0.000,0.142,-0.174,0,4.46,0.07,-0.13,0,865.5960000,17.8910000,-17.8910000,14.9930000,0.1030000,-0.1030000,13.1820000,0.0290000,-0.0290000,14.3317000,0.0078000,-0.0078000
WASP-18 b,WASP-18,1,0.94145223,0.00000024,-0.00000024,0,0.020240,0.000290,-0.000310,0,13.899,0.886,-0.886,0,3241.84975,111.23994,-111.23994,0,0.005100,0.007000,-0.003700,0,5805.00,808.00,-639.00,0,2429,77,-70,0,,6432.00,48.00,-48.00,0,1.32,0.06,-0.06,0,1.29,0.06,-0.06,0,0.107,0.080,-0.080,0,4.31,0.04,-0.03,0,123.4830000,0.3710000,-0.3690000,9.2800000,0.0300000,-0.0300000,8.1310000,0.0270000,-0.0270000,8.8287000,0.0060000,-0.0060000
KOI-4978 b,KOI-4978,1,0.94196700,0.00000300,-0.00000300,0,,,,,0.700,0.100,-0.100,0,,,,,,,,,,,,,,,,,G,5050.28,,,0,0.97,0.39,-0.13,0,0.86,0.13,-0.07,0,,,,,,,,,936.3410000,26.0830000,-24.7290000,15.6330000,0.1500000,-0.1500000,13.5070000,,,14.6908000,0.0090000,-0.0090000
