# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Dec  6 02:54:57 2024
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1
# CONSTRAINT:  and pl_rade not null
# CONSTRAINT:  and pl_bmasse not null)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
#
pl_name,hostname,default_flag,sy_snum,sy_pnum,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,sy_dist,sy_disterr1,sy_disterr2
Kepler-62 b,Kepler-62,1,1,5,0,5.71493200,0.00000900,-0.00000900,0,0.055300,0.000500,-0.000500,0,1.310,0.040,-0.040,0,9.00000,,,1,,,,,K2 V,4925.00,70.00,-70.00,0,0.64,0.02,-0.02,0,0.69,0.02,-0.02,0,300.8740000,1.2190000,-1.2190000
Kepler-62 c,Kepler-62,1,1,5,0,12.44170000,0.00010000,-0.00010000,0,0.092900,0.000900,-0.000900,0,0.540,0.030,-0.030,0,4.00000,,,1,,,,,K2 V,4925.00,70.00,-70.00,0,0.64,0.02,-0.02,0,0.69,0.02,-0.02,0,300.8740000,1.2190000,-1.2190000
Kepler-62 d,Kepler-62,1,1,5,0,18.16406000,0.00002000,-0.00002000,0,0.120000,0.001000,-0.001000,0,1.950,0.070,-0.070,0,14.00000,,,1,,,,,K2 V,4925.00,70.00,-70.00,0,0.64,0.02,-0.02,0,0.69,0.02,-0.02,0,300.8740000,1.2190000,-1.2190000
Kepler-62 e,Kepler-62,1,1,5,0,122.38740000,0.00080000,-0.00080000,0,0.427000,0.004000,-0.004000,0,1.610,0.050,-0.050,0,36.00000,,,1,,,,,K2 V,4925.00,70.00,-70.00,0,0.64,0.02,-0.02,0,0.69,0.02,-0.02,0,300.8740000,1.2190000,-1.2190000
Kepler-62 f,Kepler-62,1,1,5,0,267.29100000,0.00500000,-0.00500000,0,0.718000,0.007000,-0.007000,0,1.410,0.070,-0.070,0,35.00000,,,1,,,,,K2 V,4925.00,70.00,-70.00,0,0.64,0.02,-0.02,0,0.69,0.02,-0.02,0,300.8740000,1.2190000,-1.2190000
Kepler-63 b,Kepler-63,1,1,1,0,9.43415050,0.00000100,-0.00000100,0,0.080000,0.002000,-0.002000,0,6.110,0.200,-0.200,0,120.00000,,,1,0.450000,,,1,,5576.00,50.00,-50.00,0,0.90,0.03,-0.02,0,0.98,0.04,-0.04,0,194.0330000,0.9590000,-0.9490000
Kepler-68 b,Kepler-68,1,2,4,0,5.39875259,0.00000052,-0.00000052,0,0.061350,0.000430,-0.000430,0,2.357,0.023,-0.023,0,8.03000,0.67000,-0.67000,0,0.090000,,,1,,5847.00,75.00,-75.00,0,1.26,0.01,-0.01,0,1.06,0.02,-0.02,0,144.1660000,0.4360000,-0.4340000
Kepler-68 c,Kepler-68,1,2,4,0,9.60502700,0.00001300,-0.00001300,0,0.090080,0.000630,-0.000630,0,0.979,0.019,-0.019,0,1.30000,,,1,0.099000,,,1,,5847.00,75.00,-75.00,0,1.26,0.01,-0.01,0,1.06,0.02,-0.02,0,144.1660000,0.4360000,-0.4340000
Kepler-7 b,Kepler-7,1,1,1,0,4.88548920,0.00000090,-0.00000090,0,0.060670,0.000590,-0.000590,0,18.181,0.146,-0.146,0,140.16303,13.66669,-13.34886,0,,,,,,5933.00,44.00,-44.00,0,1.97,0.01,-0.01,0,1.36,0.03,-0.03,0,922.5620000,20.6050000,-19.7390000
Kepler-74 b,Kepler-74,1,1,1,0,7.34071100,0.00000600,-0.00000600,0,0.078100,0.000700,-0.000700,0,10.760,0.220,-0.220,0,200.22000,38.14000,-38.14000,0,0.000000,,,0,F8 V,6000.00,100.00,-100.00,0,1.12,0.04,-0.04,0,1.18,0.04,-0.04,0,1177.5500000,28.4850000,-28.4850000
Kepler-75 b,Kepler-75,1,1,1,0,8.88491160,0.00000340,-0.00000340,0,0.081800,0.001200,-0.001200,0,11.770,0.340,-0.340,0,3209.90000,127.10000,-127.10000,0,0.570000,0.010000,-0.010000,0,K0 V,5200.00,100.00,-100.00,0,0.89,0.02,-0.02,0,0.91,0.04,-0.04,0,835.3560000,18.7610000,-17.9680000
Kepler-76 b,Kepler-76,1,1,1,0,1.54492980,0.00000040,-0.00000040,0,0.027400,0.002000,-0.001900,0,15.244,1.345,-1.345,0,638.83830,117.59710,-111.24050,0,,,,,,6409.00,95.00,-95.00,0,1.32,0.08,-0.08,0,1.20,0.20,-0.20,0,822.9600000,10.4350000,-10.1820000
Kepler-77 b,Kepler-77,1,1,1,0,3.57878087,0.00000023,-0.00000023,0,0.045010,0.000630,-0.000630,0,10.761,0.179,-0.179,0,136.66100,10.17000,-10.17000,0,0.000000,,,0,G5 V,5520.00,60.00,-60.00,0,0.99,0.02,-0.02,0,0.95,0.04,-0.04,0,639.4110000,7.0550000,-7.0550000
Kepler-78 b,Kepler-78,1,2,1,0,0.35500745,0.00000008,-0.00000008,0,0.009010,0.000120,-0.000190,0,1.201,0.028,-0.028,0,1.68000,0.27000,-0.27000,0,0.000000,,,0,,5058.00,50.00,-50.00,0,0.75,0.01,-0.01,0,0.78,0.03,-0.05,0,124.3760000,0.3300000,-0.3290000
Kepler-79 b,Kepler-79,1,1,4,0,13.48450000,0.00020000,-0.00020000,0,0.117000,0.002000,-0.002000,0,3.470,0.070,-0.070,0,10.90000,7.40000,-6.00000,0,0.015000,0.012000,-0.006000,0,,6174.00,83.00,-117.00,0,1.30,0.03,-0.03,0,1.17,0.04,-0.04,0,1020.7200000,17.0750000,-17.0750000
Kepler-79 c,Kepler-79,1,1,4,0,27.40290000,0.00080000,-0.00060000,0,0.187000,0.002000,-0.003000,0,3.720,0.080,-0.080,0,5.90000,1.90000,-2.30000,0,0.030000,0.027000,-0.021000,0,,6174.00,83.00,-117.00,0,1.30,0.03,-0.03,0,1.17,0.04,-0.04,0,1020.7200000,17.0750000,-17.0750000
Kepler-79 d,Kepler-79,1,1,4,0,52.09020000,0.00090000,-0.00100000,0,0.287000,0.004000,-0.004000,0,7.160,0.130,-0.160,0,6.00000,2.10000,-1.60000,0,0.025000,0.059000,-0.023000,0,,6174.00,83.00,-117.00,0,1.30,0.03,-0.03,0,1.17,0.04,-0.04,0,1020.7200000,17.0750000,-17.0750000
Kepler-79 e,Kepler-79,1,1,4,0,81.06590000,0.00130000,-0.00110000,0,0.386000,0.005000,-0.005000,0,3.490,0.140,-0.140,0,4.10000,1.20000,-1.10000,0,0.012000,0.044000,-0.005000,0,,6174.00,83.00,-117.00,0,1.30,0.03,-0.03,0,1.17,0.04,-0.04,0,1020.7200000,17.0750000,-17.0750000
Kepler-8 b,Kepler-8,1,1,1,0,3.52249910,0.00000070,-0.00000070,0,0.047400,0.001800,-0.002100,0,15.872,0.594,-0.695,0,187.51970,41.31790,-38.13960,0,,,,,,6213.00,150.00,-150.00,0,1.49,0.05,-0.06,0,1.21,0.07,-0.06,0,1021.8700000,14.5750000,-14.5750000
Kepler-80 b,Kepler-80,1,1,6,0,7.05246000,0.00020000,-0.00022000,0,0.064800,0.000900,-0.000900,0,2.670,0.100,-0.100,0,6.93000,1.05000,-0.70000,0,,,,,K5,4540.00,100.00,-100.00,0,0.68,0.02,-0.02,0,0.73,0.03,-0.03,0,369.4510000,2.8945000,-2.8945000
Kepler-80 c,Kepler-80,1,1,6,0,9.52355000,0.00041000,-0.00029000,0,0.079200,0.001100,-0.001100,0,2.740,0.120,-0.100,0,6.74000,1.23000,-0.86000,0,,,,,K5,4540.00,100.00,-100.00,0,0.68,0.02,-0.02,0,0.73,0.03,-0.03,0,369.4510000,2.8945000,-2.8945000
Kepler-80 d,Kepler-80,1,1,6,0,3.07222000,0.00006000,-0.00004000,0,0.037200,0.000500,-0.000500,0,1.530,0.090,-0.070,0,6.75000,0.69000,-0.51000,0,,,,,K5,4540.00,100.00,-100.00,0,0.68,0.02,-0.02,0,0.73,0.03,-0.03,0,369.4510000,2.8945000,-2.8945000
Kepler-80 e,Kepler-80,1,1,6,0,4.64489000,0.00020000,-0.00019000,0,0.049100,0.000700,-0.000700,0,1.600,0.080,-0.070,0,4.13000,0.81000,-0.95000,0,,,,,K5,4540.00,100.00,-100.00,0,0.68,0.02,-0.02,0,0.73,0.03,-0.03,0,369.4510000,2.8945000,-2.8945000
Kepler-82 b,Kepler-82,1,1,5,0,26.44000000,0.48000000,-0.48000000,0,0.168300,0.002000,-0.002000,0,4.070,0.240,-0.100,0,12.15000,0.96000,-0.87000,0,0.003300,0.001900,-0.000170,0,,,,,,0.90,0.04,-0.02,0,0.91,0.03,-0.03,0,904.3260000,22.0875000,-22.0875000
Kepler-82 c,Kepler-82,1,1,5,0,51.54000000,0.94000000,-0.94000000,0,0.262600,0.003200,-0.003200,0,5.340,0.320,-0.130,0,13.90000,1.30000,-1.20000,0,0.007000,0.001600,-0.001800,0,,,,,,0.90,0.04,-0.02,0,0.91,0.03,-0.03,0,904.3260000,22.0875000,-22.0875000
Kepler-849 b,Kepler-849,1,1,1,0,394.62508000,0.00081000,-0.00079000,0,1.137000,0.034000,-0.030000,0,8.082,0.303,-0.325,0,298.75870,63.56568,-63.56568,0,0.078000,0.069000,-0.053000,0,,5950.00,140.00,-130.00,0,1.82,0.07,-0.07,0,1.26,0.12,-0.10,0,822.1340000,16.3330000,-15.7190000
Kepler-85 b,Kepler-85,1,1,4,0,8.30000000,,,0,,,,,1.778,0.050,-0.050,0,1.84000,0.60000,-0.47000,0,0.020000,0.028000,-0.016000,0,,5505.20,89.40,-89.40,0,0.88,0.02,-0.02,0,0.93,0.04,-0.04,0,765.0250000,13.6830000,-13.2190000
Kepler-85 c,Kepler-85,1,1,4,0,12.51000000,,,0,,,,,1.978,0.056,-0.057,0,2.15000,0.73000,-0.57000,0,0.027000,0.028000,-0.014000,0,,5505.20,89.40,-89.40,0,0.88,0.02,-0.02,0,0.93,0.04,-0.04,0,765.0250000,13.6830000,-13.2190000
Kepler-87 b,Kepler-87,1,1,2,0,114.73635000,0.00015000,-0.00015000,0,0.481000,0.026000,-0.028000,0,13.490,0.550,-0.550,0,324.20000,8.80000,-8.80000,0,0.036000,0.009000,-0.009000,0,,5600.00,50.00,-50.00,0,1.82,0.04,-0.04,0,1.10,0.05,-0.05,0,1232.9000000,27.0200000,-27.0200000
Kepler-87 c,Kepler-87,1,1,2,0,191.23180000,0.00150000,-0.00150000,0,0.676000,0.037000,-0.040000,0,6.140,0.290,-0.290,0,6.40000,0.80000,-0.80000,0,0.039000,0.012000,-0.012000,0,,5600.00,50.00,-50.00,0,1.82,0.04,-0.04,0,1.10,0.05,-0.05,0,1232.9000000,27.0200000,-27.0200000
Kepler-9 b,Kepler-9,1,1,3,0,19.23891000,0.00006000,-0.00006000,0,0.143000,0.007000,-0.006000,0,8.290,0.540,-0.430,0,43.40000,1.60000,-2.00000,0,0.060900,0.001000,-0.001300,0,,5774.00,60.00,-60.00,0,0.96,0.02,-0.02,0,1.02,0.03,-0.04,0,628.2570000,6.7435000,-6.7435000
Kepler-9 c,Kepler-9,1,1,3,0,38.98530000,0.00030000,-0.00030000,0,0.227000,0.012000,-0.008000,0,8.080,0.540,-0.410,0,29.90000,1.10000,-1.30000,0,0.066910,0.000100,-0.000120,0,,5774.00,60.00,-60.00,0,0.96,0.02,-0.02,0,1.02,0.03,-0.04,0,628.2570000,6.7435000,-6.7435000
Kepler-91 b,Kepler-91,1,1,1,0,6.24658000,0.00008000,-0.00008000,0,0.073100,0.003400,-0.003100,0,15.323,0.773,-0.673,0,257.44230,57.20940,-54.03110,0,,,,,,4550.00,75.00,-75.00,0,6.30,0.16,-0.16,0,1.31,0.10,-0.10,0,1294.6900000,40.7350000,-40.7350000
Kepler-92 b,Kepler-92,1,1,3,0,13.74900000,,,0,,,,,3.510,0.100,-0.100,0,64.30000,13.90000,-13.90000,0,,,,,,,,,,1.70,0.05,-0.05,0,1.21,0.08,-0.08,0,477.9920000,5.4300000,-5.3120000
Kepler-92 c,Kepler-92,1,1,3,0,26.72300000,,,0,,,,,2.600,0.080,-0.080,0,6.10000,1.80000,-1.80000,0,,,,,,,,,,1.70,0.05,-0.05,0,1.21,0.08,-0.08,0,477.9920000,5.4300000,-5.3120000
Kepler-93 b,Kepler-93,1,1,2,0,4.72673978,0.00000097,-0.00000097,0,0.053430,0.000650,-0.000650,0,1.478,0.019,-0.019,0,4.66000,0.53000,-0.53000,0,0.000000,,,0,,5669.00,75.00,-75.00,0,0.92,0.01,-0.01,0,0.91,0.03,-0.03,0,95.9115000,0.2217000,-0.2206000
Kepler-94 b,Kepler-94,1,1,2,0,2.50806000,,,0,,,,,3.510,0.150,-0.150,0,10.84000,1.40000,-1.40000,0,,,,,,4781.00,98.00,-98.00,0,0.76,0.03,-0.03,0,0.81,0.06,-0.06,0,191.9040000,0.8210000,-0.8140000
Kepler-95 b,Kepler-95,1,1,1,0,11.52310000,,,0,,,,,3.420,0.090,-0.090,0,13.00000,2.90000,-2.90000,0,,,,,,5699.00,74.00,-74.00,0,1.41,0.04,-0.04,0,1.08,0.08,-0.08,0,445.6560000,5.7830000,-5.6400000
Kepler-96 b,Kepler-96,1,1,1,0,16.23850000,,,0,,,,,2.670,0.220,-0.220,0,8.46000,3.40000,-3.40000,0,,,,,,5690.00,73.00,-73.00,0,1.02,0.09,-0.09,0,1.00,0.06,-0.06,0,122.8810000,0.4040000,-0.4010000
Kepler-97 b,Kepler-97,1,1,2,0,2.58664000,,,0,,,,,1.480,0.130,-0.130,0,3.51000,1.90000,-1.90000,0,,,,,,5779.00,74.00,-74.00,0,0.98,0.09,-0.09,0,0.94,0.06,-0.06,0,400.9070000,3.5520000,-3.4910000
Kepler-98 b,Kepler-98,1,1,1,0,1.54168000,,,0,,,,,1.990,0.220,-0.220,0,3.55000,1.60000,-1.60000,0,,,,,,5539.00,73.00,-73.00,0,1.11,0.12,-0.12,0,0.99,0.06,-0.06,0,350.3150000,2.9780000,-2.9290000
Kepler-99 b,Kepler-99,1,2,1,0,4.60358000,,,0,,,,,1.480,0.080,-0.080,0,6.15000,1.30000,-1.30000,0,,,,,,4782.00,129.00,-129.00,0,0.73,0.04,-0.04,0,0.79,0.06,-0.06,0,208.3690000,1.0420000,-1.0310000
L 168-9 b,L 168-9,1,1,1,0,1.40152604,0.00000074,-0.00000082,0,0.020800,0.000600,-0.000600,0,1.630,0.140,-0.140,0,4.07000,0.45000,-0.45000,0,0.000000,,,0,M0.5 V,3842.00,32.00,-32.00,0,0.60,0.04,-0.04,0,0.61,0.06,-0.06,0,25.1496000,0.0239000,-0.0239000
L 98-59 b,L 98-59,1,1,4,0,2.25311360,0.00000120,-0.00000150,0,0.021910,0.000800,-0.000840,0,0.850,0.061,-0.047,0,0.40000,0.16000,-0.15000,0,0.103000,0.117000,-0.045000,0,M3 V,3415.00,135.00,-135.00,0,0.30,0.03,-0.02,0,0.27,0.03,-0.03,0,10.6194000,0.0032000,-0.0032000
L 98-59 c,L 98-59,1,1,4,0,3.69067770,0.00000160,-0.00000260,0,0.030400,0.001100,-0.001200,0,1.385,0.095,-0.075,0,2.22000,0.26000,-0.25000,0,0.103000,0.045000,-0.058000,0,M3 V,3415.00,135.00,-135.00,0,0.30,0.03,-0.02,0,0.27,0.03,-0.03,0,10.6194000,0.0032000,-0.0032000
L 98-59 d,L 98-59,1,1,4,0,7.45072450,0.00000810,-0.00000460,0,0.048600,0.001800,-0.001900,0,1.521,0.119,-0.098,0,1.94000,0.28000,-0.28000,0,0.074000,0.057000,-0.046000,0,M3 V,3415.00,135.00,-135.00,0,0.30,0.03,-0.02,0,0.27,0.03,-0.03,0,10.6194000,0.0032000,-0.0032000
LHS 1140 b,LHS 1140,1,1,2,0,24.73723000,0.00002000,-0.00002000,0,0.094600,0.001700,-0.001700,0,1.730,0.025,-0.025,0,5.60000,0.19000,-0.19000,0,0.043000,,,1,M4.5 V,3096.00,48.00,-48.00,0,0.22,0.00,0.00,0,0.18,0.00,0.00,0,14.9861000,0.0153000,-0.0152000
LHS 1140 c,LHS 1140,1,1,2,0,3.77794000,0.00000200,-0.00000200,0,0.027000,0.000500,-0.000500,0,1.272,0.026,-0.026,0,1.91000,0.06000,-0.06000,0,0.050000,,,1,M4.5 V,3096.00,48.00,-48.00,0,0.22,0.00,0.00,0,0.18,0.00,0.00,0,14.9861000,0.0153000,-0.0152000
LHS 1478 b,LHS 1478,1,1,1,0,1.94953780,0.00000400,-0.00000410,0,0.018480,0.000610,-0.000630,0,1.242,0.051,-0.049,0,2.33000,0.20000,-0.20000,0,,,,,m3 V,3381.00,54.00,-54.00,0,0.25,0.01,-0.01,0,0.24,0.01,-0.01,0,18.2276000,0.0110000,-0.0110000
LHS 1815 b,LHS 1815,1,1,1,0,3.81433400,0.00008400,-0.00008400,0,,,,,1.088,0.064,-0.064,0,1.58000,0.64000,-0.60000,0,0.000000,,,0,M1,3643.00,142.00,-142.00,0,0.50,0.03,-0.03,0,0.50,0.01,-0.01,0,29.8424000,0.0239000,-0.0239000
LP 714-47 b,LP 714-47,1,1,1,0,4.05203700,0.00000400,-0.00000400,0,0.041700,0.000500,-0.000500,0,4.700,0.300,-0.300,0,30.80000,1.50000,-1.50000,0,0.040000,0.020000,-0.020000,0,M0.0 V,3950.00,51.00,-51.00,0,0.58,0.02,-0.02,0,0.59,0.02,-0.02,0,52.6160000,0.1152500,-0.1152500
LP 791-18 c,LP 791-18,1,1,3,0,4.98990930,0.00000740,-0.00000720,0,0.029610,0.000350,-0.000360,0,2.438,0.096,-0.096,0,7.10000,0.70000,-0.70000,0,0.000080,0.000040,-0.000040,0,M(6.1 +/- 0.7) V,2960.00,55.00,-55.00,0,0.18,0.01,-0.01,0,0.14,0.01,-0.01,0,26.4927000,0.0640000,-0.0638000
LP 791-18 d,LP 791-18,1,1,3,0,2.75343600,0.00001300,-0.00001300,0,0.019920,0.000240,-0.000240,0,1.032,0.044,-0.043,0,0.90000,0.50000,-0.40000,0,0.001500,0.000140,-0.000140,0,M(6.1 +/- 0.7) V,2960.00,55.00,-55.00,0,0.18,0.01,-0.01,0,0.14,0.01,-0.01,0,26.4927000,0.0640000,-0.0638000
LP 890-9 b,LP 890-9,1,1,2,0,2.72990250,0.00000340,-0.00000400,0,0.018750,0.000100,-0.000100,0,1.320,0.053,-0.027,0,13.20000,,,1,,,,,M6 V,2850.00,75.00,-75.00,0,0.16,0.01,-0.01,0,0.12,0.00,0.00,0,32.4298000,0.0702000,-0.0699000
LP 890-9 c,LP 890-9,1,1,2,0,8.45746300,0.00002400,-0.00002400,0,0.039840,0.000220,-0.000220,0,1.367,0.055,-0.039,0,25.30000,,,1,,,,,M6 V,2850.00,75.00,-75.00,0,0.16,0.01,-0.01,0,0.12,0.00,0.00,0,32.4298000,0.0702000,-0.0699000
LTT 1445 A c,LTT 1445 A,1,3,2,0,3.12390350,0.00000340,-0.00000360,0,0.026610,0.000470,-0.000490,0,1.147,0.055,-0.054,0,1.54000,0.20000,-0.19000,0,0.223000,,,1,,3340.00,150.00,-150.00,0,0.27,0.01,-0.01,0,0.26,0.01,-0.01,0,6.8692900,0.0038050,-0.0038050
LTT 3780 b,LTT 3780,1,2,2,0,0.76837931,0.00000039,-0.00000042,0,0.011950,0.000280,-0.000290,0,1.325,0.057,-0.058,0,2.46000,0.19000,-0.19000,0,0.000000,,,0,,3358.00,92.00,-92.00,0,0.38,0.01,-0.01,0,0.38,0.02,-0.03,0,21.9814000,0.0403000,-0.0402000
LTT 3780 c,LTT 3780,1,2,2,0,12.25228400,0.00001300,-0.00001300,0,0.075700,0.001800,-0.001800,0,2.390,0.100,-0.110,0,8.04000,0.50000,-0.48000,0,0.024000,0.032000,-0.017000,0,,3358.00,92.00,-92.00,0,0.38,0.01,-0.01,0,0.38,0.02,-0.03,0,21.9814000,0.0403000,-0.0402000
LTT 9779 b,LTT 9779,1,1,1,0,0.79205200,0.00000930,-0.00000930,0,0.016790,0.000140,-0.000120,0,4.720,0.230,-0.230,0,29.32000,0.78000,-0.81000,0,0.000000,,,0,G7 V,5443.00,14.00,-13.00,0,0.95,0.01,-0.01,0,0.77,0.29,-0.21,0,80.4373000,0.3174000,-0.3150000
Lupus-TR-3 b,Lupus-TR-3,1,1,1,0,3.91405000,0.00004000,-0.00004000,0,0.046400,0.000700,-0.000700,0,9.976,0.785,-0.785,0,257.43100,57.20700,-57.20700,0,0.000000,,,0,,5000.00,150.00,,0,0.82,0.05,,0,0.87,0.04,,0,773.4090000,333.6010000,-179.2900000
MASCARA-4 b,MASCARA-4,1,2,1,0,2.82406000,0.00003000,-0.00003000,0,0.047000,0.004000,-0.004000,0,17.150,0.785,-0.448,0,985.27300,286.04700,-286.04700,0,0.000000,,,0,A7 V,7800.00,200.00,-200.00,0,1.92,0.11,-0.11,0,1.75,0.05,-0.05,0,170.6960000,0.9380000,-0.9280000
NGTS-1 b,NGTS-1,1,1,1,0,2.64729800,0.00002000,-0.00002000,0,0.032600,0.004700,-0.004500,0,14.908,6.837,-3.699,0,258.07796,20.97678,-23.83725,0,0.016000,0.023000,-0.012000,0,M0.5,3916.00,71.00,-63.00,0,0.57,0.08,-0.08,0,0.62,0.02,-0.06,0,218.1210000,1.0370000,-1.0370000
NGTS-10 b,NGTS-10,1,1,1,0,0.76689440,0.00000030,-0.00000030,0,0.014300,0.001000,-0.001000,0,13.507,1.311,-0.930,0,687.14846,29.24036,-34.00781,0,0.000000,,,0,K5 V,4600.00,150.00,-150.00,0,0.70,0.04,-0.04,0,0.70,0.04,-0.04,0,,,
NGTS-11 b,NGTS-11,1,1,1,0,35.45533000,0.00019000,-0.00019000,0,0.201000,0.002100,-0.002200,0,9.158,0.314,-0.359,0,109.33352,29.24036,-23.20159,0,0.130000,0.100000,-0.090000,0,K,5050.00,80.00,-80.00,0,0.83,0.01,-0.01,0,0.86,0.03,-0.03,0,190.4220000,1.7770000,-1.7440000
NGTS-12 b,NGTS-12,1,1,1,0,7.53280600,0.00004800,-0.00004800,0,0.075700,0.001400,-0.001400,0,11.747,0.359,-0.359,0,66.10864,6.99226,-6.99226,0,0.000000,,,0,G,5690.00,130.00,-130.00,0,1.59,0.04,-0.04,0,1.02,0.06,-0.05,0,446.4420000,7.7060000,-7.4530000
NGTS-13 b,NGTS-13,1,1,1,0,4.11902700,0.00002300,-0.00002300,0,0.054900,0.001500,-0.002500,0,12.801,0.516,-0.516,0,1538.29720,139.84520,-139.84520,0,0.086000,0.034000,-0.034000,0,,5819.00,73.00,-73.00,0,1.79,0.06,-0.06,0,1.30,0.11,-0.18,0,647.5950000,15.0590000,-14.4020000
NGTS-14 A b,NGTS-14 A,1,2,1,0,3.53571730,0.00000690,-0.00000690,0,0.040300,0.007100,-0.007100,0,4.977,0.336,-0.336,0,29.24036,3.81396,-3.81396,0,0.000000,,,0,K1 V,5187.00,11.00,-11.00,0,0.84,0.01,-0.01,0,0.90,0.04,-0.04,0,322.1480000,3.6320000,-3.5530000
NGTS-15 b,NGTS-15,1,1,1,0,3.27623000,0.00001000,-0.00001000,0,0.044100,0.004600,-0.004600,0,12.330,1.121,-1.121,0,238.68913,32.41850,-27.96890,0,0.000000,,,0,G6 V,5600.00,150.00,-150.00,0,0.95,0.08,-0.08,0,0.99,0.03,-0.03,0,786.4850000,10.6850000,-10.4080000
NGTS-16 b,NGTS-16,1,1,1,0,4.84532000,0.00002000,-0.00002000,0,0.052300,0.006400,-0.006400,0,14.572,1.457,-1.345,0,211.99155,49.89906,-40.99986,0,0.000000,,,0,G7 V,5550.00,150.00,-150.00,0,1.21,0.11,-0.11,0,1.00,0.03,-0.03,0,898.1680000,17.7010000,-17.0420000
NGTS-17 b,NGTS-17,1,1,1,0,3.24253000,0.00001000,-0.00001000,0,0.039100,0.004300,-0.004300,0,13.899,1.233,-1.233,0,242.82090,61.97654,-52.12386,0,0.000000,,,0,G4 V,5650.00,100.00,-100.00,0,1.34,0.12,-0.12,0,1.02,0.03,-0.03,0,1040.2800000,22.0500000,-21.1600000
NGTS-18 b,NGTS-18,1,1,1,0,3.05125000,0.00001000,-0.00001000,0,0.044800,0.006800,-0.006800,0,13.563,2.018,-2.018,0,129.99182,25.74410,-20.02319,0,0.000000,,,0,G5 V,5610.00,150.00,-150.00,0,1.39,0.21,-0.21,0,1.00,0.03,-0.03,0,1096.1900000,43.1100000,-40.0200000
NGTS-2 b,NGTS-2,1,1,1,0,4.51116400,0.00006100,-0.00006100,0,0.063000,0.002400,-0.003000,0,17.878,0.527,-0.504,0,235.19420,41.31790,-38.13960,0,0.000000,,,0,F5 V,6478.00,94.00,-89.00,0,1.70,0.05,-0.04,0,1.64,0.19,-0.22,0,356.3910000,8.2000000,-7.8450000
